case_id,case_count,source,split,source_id_or_rule,coverage,ground_truth,license,distribution,landing_or_source,download_url,sha256,status
OI-12,1,Open Images V7,validation,c640424ecb2a3a85,马;毛发;大主体,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/edenpictures/14874309284,https://s3.amazonaws.com/open-images-dataset/validation/c640424ecb2a3a85.jpg,357943aa6ff75b253dbd7dade741032525cbfd5f9750fba5de9a7cdb32e12747,selection_locked
OI-13,1,Open Images V7,validation,a7935166240eb68b,相机;手机;反射屏幕;多对象,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/flickrnyk/7438905310,https://s3.amazonaws.com/open-images-dataset/validation/a7935166240eb68b.jpg,c7529340ce34576e678670ca7a1db2817cb9e3254b25cc4946a2a32c84c90cba,selection_locked
OI-14,1,Open Images V7,validation,3aacc9df5fe80ec4,汽车;卡车;拥挤;遮挡;路人,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/evoflash/7614461630,https://s3.amazonaws.com/open-images-dataset/validation/3aacc9df5fe80ec4.jpg,7c9981d2eb13ddc7ae39104e29cacb7fe20d16014fa38cdeaf835f135b0ca9d0,selection_locked
OI-15,1,Open Images V7,validation,8ff164d554186670,瓶子;货架;重复对象;复杂背景,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/37589005@N04/8276215260,https://s3.amazonaws.com/open-images-dataset/validation/8ff164d554186670.jpg,0293c86a7c788b614b9fe5f918ed4bf7438ec025e001377c6296e99bf1435a29,selection_locked
OI-16,1,Open Images V7,validation,0e5613a5e521f5c5,书籍;大量小对象;文字背景,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/shawnhargreaves/3737459891,https://s3.amazonaws.com/open-images-dataset/validation/0e5613a5e521f5c5.jpg,91aa290bf2ab051812697958d926d81b4c5dc4a8c6d01f27a67a74c0c8969b9b,selection_locked
OI-17,1,Open Images V7,validation,189a9911f39e9afd,瓶子;花盆;半透明候选;静物,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/tsausawest/12450871354,https://s3.amazonaws.com/open-images-dataset/validation/189a9911f39e9afd.jpg,3230e1014e07fc4fe4a194250b0b7921b33a94a93b373c1fde553a891acb136a,selection_locked
OI-18,1,Open Images V7,validation,b5cd371d7747c0d0,摩托车;路人;高遮挡;复杂背景,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/thepaperboy/2864549928,https://s3.amazonaws.com/open-images-dataset/validation/b5cd371d7747c0d0.jpg,44859b18024f224dbb7074317eb71d83534ef0994f9425ef686464e58a68c621,selection_locked
OI-19,1,Open Images V7,validation,dc91dc35f77deacb,天空;建筑;多对象,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/eduardorobles/7188489115,https://s3.amazonaws.com/open-images-dataset/validation/dc91dc35f77deacb.jpg,611c84b6fa416ebd1296fca36f261a63964db30cd85b77d5d05a7f665be0459b,selection_locked
OI-20,1,Open Images V7,validation,dfc716f036f47e4b,天空;人物;运动;复杂场景,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/55773111@N03/20278870359,https://s3.amazonaws.com/open-images-dataset/validation/dfc716f036f47e4b.jpg,449f980571c13dc51cf44e3d7a5223446cf5a2880ce141673bfac040fb12cb69,selection_locked
OI-21,1,Open Images V7,validation,9a66390330794845,天空;远景;多对象,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/martinvars/4804126265,https://s3.amazonaws.com/open-images-dataset/validation/9a66390330794845.jpg,087decca6086209a89b6da84dd3800174aab61a509adef7dcdbdc8f381110e9e,selection_locked
OI-22,1,Open Images V7,validation,7313ab9a917e81a6,瓶子;透明/反射候选;大主体,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/uaeincredible/47773246,https://s3.amazonaws.com/open-images-dataset/validation/7313ab9a917e81a6.jpg,0c6dadf1f656b52d5df76f7c51388ecaede263815269e6f4d2ec4f61c4441d16,selection_locked
OI-23,1,Open Images V7,validation,ba965d3fd74e1e61,书籍;文字;大主体,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/7855449@N02/4739695490,https://s3.amazonaws.com/open-images-dataset/validation/ba965d3fd74e1e61.jpg,5afdd766162f3e32ff96cc14dc74423f6633fbe5d8103af3f8099aac161767b7,selection_locked
OI-24,1,Open Images V7,validation,b5ddf87dc57c6301,手机;屏幕;反射;大主体,instance masks/boxes,image CC-BY-2.0; annotations CC-BY-4.0,local evaluation only,https://www.flickr.com/photos/homard/3833917648,https://s3.amazonaws.com/open-images-dataset/validation/b5ddf87dc57c6301.jpg,732d58970326d055609e8bb8de89b6973a524557ff0046e5628f858b24d91cbf,selection_locked
TXT-01,1,TextOCR 0.1,val,c2324e4b92563f9a,OCR;超密集文字;版面,text polygons+transcripts,annotations CC-BY-4.0; underlying image attribution pending,local evaluation only,https://textvqa.org/textocr/dataset/,https://s3.amazonaws.com/open-images-dataset/train/c2324e4b92563f9a.jpg,c83fa634c84002ff6b1dbc0c13d334538aa8dcc8eb0f52ab11e23d64cb3861f3,license_review
TXT-02,1,TextOCR 0.1,val,b09dd0e7fad13f08,OCR;超密集文字;竖图,text polygons+transcripts,annotations CC-BY-4.0; underlying image attribution pending,local evaluation only,https://textvqa.org/textocr/dataset/,https://s3.amazonaws.com/open-images-dataset/train/b09dd0e7fad13f08.jpg,c7e49b8a899d48d522d980b10b7d1853406e9615940c3af994c5ea14779703ac,license_review
TXT-03,1,TextOCR 0.1,val,b395175f315bdddb,OCR;密集文字,text polygons+transcripts,annotations CC-BY-4.0; underlying image attribution pending,local evaluation only,https://textvqa.org/textocr/dataset/,https://s3.amazonaws.com/open-images-dataset/train/b395175f315bdddb.jpg,b3a59a426ff139167ff07370ac2326715f5f54360a7e8e4a5c977c4d3d8a6f9a,license_review
TXT-04,1,TextOCR 0.1,val,4f567afa3ea9f026,OCR;中等密度;方图,text polygons+transcripts,annotations CC-BY-4.0; underlying image attribution pending,local evaluation only,https://textvqa.org/textocr/dataset/,https://s3.amazonaws.com/open-images-dataset/train/4f567afa3ea9f026.jpg,2d9bc6430ba31c1d5e6f053f4a744ee9e3d86db094b444d685f019009d47d37a,license_review
TXT-05,1,TextOCR 0.1,val,fddb29c9153b9c02,OCR;少量文字;方图,text polygons+transcripts,annotations CC-BY-4.0; underlying image attribution pending,local evaluation only,https://textvqa.org/textocr/dataset/,https://s3.amazonaws.com/open-images-dataset/train/fddb29c9153b9c02.jpg,52057a421121a78dc80cedfea185392207081891fd06ad0fda81738245f65571,license_review
TXT-06,1,TextOCR 0.1,val,e1dd44177f2eb45e,OCR;少量文字;横图,text polygons+transcripts,annotations CC-BY-4.0; underlying image attribution pending,local evaluation only,https://textvqa.org/textocr/dataset/,https://s3.amazonaws.com/open-images-dataset/train/e1dd44177f2eb45e.jpg,fd70b852b457ecabf11face8b52e16eca0e7d81e4fde920fc9f272fe520e085a,license_review
TXT-07,1,TextOCR 0.1,val,cde910e31ca76087,OCR;稀疏文字,text polygons+transcripts,annotations CC-BY-4.0; underlying image attribution pending,local evaluation only,https://textvqa.org/textocr/dataset/,https://s3.amazonaws.com/open-images-dataset/train/cde910e31ca76087.jpg,5e4edccddeb824ed80ec0b7ad687d0b867aeeae9968b9a849a820c9e65edc669,license_review
TXT-08,1,TextOCR 0.1,val,048e6f8bd215e50c,OCR;稀疏文字;近方图,text polygons+transcripts,annotations CC-BY-4.0; underlying image attribution pending,local evaluation only,https://textvqa.org/textocr/dataset/,https://s3.amazonaws.com/open-images-dataset/train/048e6f8bd215e50c.jpg,f15ca7ce924929de45073bd289c42cd11968834eba15de43deb56a8ae992534a,license_review
TXT-09,1,TextOCR 0.1,val,f80461e7623b718c,OCR;极稀疏文字,text polygons+transcripts,annotations CC-BY-4.0; underlying image attribution pending,local evaluation only,https://textvqa.org/textocr/dataset/,https://s3.amazonaws.com/open-images-dataset/train/f80461e7623b718c.jpg,e3b074e4cf7243b87fc1639f7fc00271a37d7a182447d7a502b7c513af6a2515,license_review
TXT-10,1,TextOCR 0.1,val,200c68cea4db98eb,OCR;极稀疏文字;竖图,text polygons+transcripts,annotations CC-BY-4.0; underlying image attribution pending,local evaluation only,https://textvqa.org/textocr/dataset/,https://s3.amazonaws.com/open-images-dataset/train/200c68cea4db98eb.jpg,5c009bce8b690a34f52eed685441f1cab74d389f00c5657299157f0bddda22d5,license_review
P3M-DEMO-01,1,P3M-Net demo,repo,p_09ba26b4,人物;头发;细边缘;定性抠图,no GT; demo alpha is prediction,repo MIT; image provenance pending,local qualitative only,https://github.com/ViTAE-Transformer/P3M-Net,https://raw.githubusercontent.com/ViTAE-Transformer/P3M-Net/fbf38909d784d1a6c887e120bb14d8746fa90649/demo/imgs/original/p_09ba26b4.jpg,12139da2e4a2d8dd49f51589201cbfe7d6fce3d4f16544b549294b6bef716ffd,license_review
P3M-DEMO-02,1,P3M-Net demo,repo,p_22fc0130,人物;头发;细边缘;定性抠图,no GT; demo alpha is prediction,repo MIT; image provenance pending,local qualitative only,https://github.com/ViTAE-Transformer/P3M-Net,https://raw.githubusercontent.com/ViTAE-Transformer/P3M-Net/fbf38909d784d1a6c887e120bb14d8746fa90649/demo/imgs/original/p_22fc0130.jpg,34c875ef0ab49c8562fba200c6d4966a3f9815324786939a6bb83768d596eed9,license_review
P3M-DEMO-03,1,P3M-Net demo,repo,p_514ca06a,人物;头发;细边缘;定性抠图,no GT; demo alpha is prediction,repo MIT; image provenance pending,local qualitative only,https://github.com/ViTAE-Transformer/P3M-Net,https://raw.githubusercontent.com/ViTAE-Transformer/P3M-Net/fbf38909d784d1a6c887e120bb14d8746fa90649/demo/imgs/original/p_514ca06a.jpg,d45f2cec8a45d6b931d0b48c7332ad78d3dbb7b17dbb22d7a4294fbf1791bde2,license_review
P3M-DEMO-04,1,P3M-Net demo,repo,p_51c916fc,人物;头发;细边缘;定性抠图,no GT; demo alpha is prediction,repo MIT; image provenance pending,local qualitative only,https://github.com/ViTAE-Transformer/P3M-Net,https://raw.githubusercontent.com/ViTAE-Transformer/P3M-Net/fbf38909d784d1a6c887e120bb14d8746fa90649/demo/imgs/original/p_51c916fc.jpg,749839cbe33ae4a5575850a5be46bfe0318b1b470de2e4386ce5fa98886b5f42,license_review
P3M-DEMO-05,1,P3M-Net demo,repo,p_bac3c1ff,人物;头发;细边缘;定性抠图,no GT; demo alpha is prediction,repo MIT; image provenance pending,local qualitative only,https://github.com/ViTAE-Transformer/P3M-Net,https://raw.githubusercontent.com/ViTAE-Transformer/P3M-Net/fbf38909d784d1a6c887e120bb14d8746fa90649/demo/imgs/original/p_bac3c1ff.jpg,575a1ccbf3e45b77fd072b38322ef6324d913d7217c8a039ac8708a092ef9bed,license_review
P3M-DEMO-06,1,P3M-Net demo,repo,p_bd6af989,人物;头发;细边缘;定性抠图,no GT; demo alpha is prediction,repo MIT; image provenance pending,local qualitative only,https://github.com/ViTAE-Transformer/P3M-Net,https://raw.githubusercontent.com/ViTAE-Transformer/P3M-Net/fbf38909d784d1a6c887e120bb14d8746fa90649/demo/imgs/original/p_bd6af989.jpg,f89ef38769f9ca987b4308c1656fd5ffc3be380420dbea7ddbc92dc510391879,license_review
P3M-DEMO-07,1,P3M-Net demo,repo,p_d684dae3,人物;头发;细边缘;定性抠图,no GT; demo alpha is prediction,repo MIT; image provenance pending,local qualitative only,https://github.com/ViTAE-Transformer/P3M-Net,https://raw.githubusercontent.com/ViTAE-Transformer/P3M-Net/fbf38909d784d1a6c887e120bb14d8746fa90649/demo/imgs/original/p_d684dae3.jpg,0f564256f8a2d3044698b7b929b8279a28297cddc10ec1d131d62116d861a2b8,license_review
P3M-GT-01..08,8,P3M-500-P,locked-subset,validation/P3M-500-P sorted filenames first 8,人物;头发;Alpha Matting GT,alpha mattes,MIT dataset agreement,do not commit or redistribute,https://github.com/ViTAE-Transformer/P3M-Net,manual dataset download,,acquisition_pending
AM2K-GT-01..04,4,AM-2K,locked-subset,validation sorted filenames first 4,动物;毛发;Alpha Matting GT,alpha mattes,conflict: agreement MIT; repo says research-only,blocked pending manual review,https://github.com/bruinxiong/animal-matting,manual dataset download,,blocked_license_review
TRANS-GT-01..04,4,Transparent-460,locked-subset,Test sorted filenames first 4,玻璃;透明;半透明;Alpha GT,alpha mattes,non-commercial research only,local noncommercial research only,https://github.com/AceCHQ/TransMatting,manual dataset download,,noncommercial_only
PRIVATE-01..08,8,Project-owned/private,locked-subset,PRIV-01 through PRIV-08 acquisition sheet,中文文字;真实照片;反射;烟;水;极端背景,manual task ground truth,project-owned or written permission,local private only,local-only,local-only,,acquisition_pending
